Model,brand,variant,mfg,km_drvn,fuel,mileage,engine,max_pwr,torque,owner,transmission,location,Price
Audi A4,Audi,New 2.0 TDI Multitronic,2011,43000,Diesel,15.2,1968,140.8,320,Second Owner,Automatic,Kolkata,1100000
BMW X1,BMW,sDrive20d,2011,50000,Diesel,17.05,1995,184,380,First Owner,Automatic,Kolkata,699000
Audi A6,Audi,2.0 TDI,2011,72941,Diesel,17.68,1968,174.33,380,First Owner,Automatic,Kolkata,1249000
BMW 3 Series,BMW,320d,2011,71075,Diesel,13.2,1995,170,34.7,First Owner,Automatic,Kolkata,690000
Mercedes-Benz E-Class,Mercedes,E250 CDI Blue Efficiency,2011,50000,Diesel,14.21,2143,203,500,First Owner,Automatic,Kolkata,799000
BMW 5 Series,BMW,525d Sedan,2011,52000,Diesel,16.73,2993,218,450,First Owner,Automatic,Kolkata,975000
Mercedes-Benz S-Class,Mercedes,S 350 L,2010,15000,Petrol,10.13,3498,364.9,345,First Owner,Automatic,Kolkata,1675000
BMW 5 Series,BMW,525i,2008,31400,Petrol,10.8,2497,215,25,First Owner,Automatic,Kolkata,950000
MG Hector,MG,Sharp DCT,2019,16000,Petrol,13.96,1451,141,250,First Owner,Automatic,Kolkata,1695000
Toyota Innova Crysta,Toyota,2.4 VX MT BSIV,2019,34000,Diesel,13.68,2393,147.8,343,First Owner,Manual,Kolkata,1839000
Renault Duster,Renault,110PS Diesel RxZ,2015,41000,Diesel,19.01,1461,108.45,248,First Owner,Manual,Kolkata,550000
Maruti Ertiga,Maruti,SHVS VDI,2016,67000,Diesel,24.52,1248,88.5,200,First Owner,Manual,Kolkata,710000
Maruti SX4 S Cross,Maruti,Facelift,2019,27501,Diesel,23.65,1248,88.5,200,First Owner,Manual,Kolkata,788000
Maruti Ertiga,Maruti,VXI Petrol,2018,35000,Petrol,19.34,1462,103,138,First Owner,Manual,Kolkata,714000
Toyota Innova,Toyota,2.5 E 7 STR,2012,99000,Diesel,12.8,2494,102,20.4,First Owner,Manual,Kolkata,624000
Datsun GO Plus,Datsun,T BSIV,2017,8000,Petrol,19.44,1198,67,104,First Owner,Manual,Kolkata,325000
Ford Ecosport,Ford,1.5 DV5 MT Trend,2014,65000,Diesel,22.7,1498,89.84,204,First Owner,Manual,Kolkata,465000
Ford Ecosport,Ford,1.5 Diesel Titanium BSIV,2018,36000,Diesel,23,1498,98.96,205,First Owner,Manual,Kolkata,825000
Honda WR-V,Honda,VX,2020,9000,Petrol,16.5,1199,88.5,110,First Owner,Manual,Kolkata,849000
Datsun GO Plus,Datsun,T Option,2018,14000,Petrol,19.02,1198,67.05,104,First Owner,Manual,Kolkata,375000
